"x","y","z"
15.1717370024583,2.50125995408157,50.4758306253996
21.1097169684426,4.38955837264795,49.266885294569
24.3377647067322,10.9737919383321,49.6305611425802
10.6172091894826,1.44003375442775,52.2633759781939
21.7164987552442,11.8529085936198,56.8623075466502
22.0242235686303,19.8222086297788,50.200531469658
17.7010401594614,5.42646926476308,46.3589283646794
17.8134725768633,6.39201404191322,48.3636588459754
17.7421920036269,8.61969999579705,51.3070510466124
16.4398486838236,4.46248837864092,49.5420181156311
18.0912292009858,6.21717192949762,50.0093670030367
16.0064542205612,3.57718144999412,49.9702113960532
16.894984421448,3.88704087889228,46.3899438750134
20.2578352691051,10.1625227931557,50.0863735468311
23.8379762358831,13.8505764068163,53.2658360584421
19.5588580224369,4.33473299522911,52.6795918756779
17.9559619767734,7.6276582780161,52.1886709125765
16.3552183334808,3.91965983577363,49.2824606236616
16.6513132789242,4.5914652409562,49.9247580869323
29.6633407139574,21.0141026197301,47.3063165826112
20.5363528806081,14.7885761565862,50.4566141301883
18.0372564132362,16.6285263044965,51.3067056953846
18.2378085105871,7.14439481481231,55.6650262770378
21.8383577640234,20.2619962794526,53.659690490011
17.2251190122501,4.59388482147246,49.0300032413631
14.2071803584541,8.83353421578534,51.4928663017529
22.2990228836029,24.4949871664743,47.2651465559065
15.9053771081445,7.76633554892913,53.1117721941012
19.9394467985433,9.26091247989544,53.5169336640847
16.2562055953264,8.22578657248253,56.8510374839868
24.4091901848011,23.5175279773748,51.975846308669
18.0976276845238,5.54319673752014,49.1187734099476
17.16223984995,14.633548567643,50.7128476766119
17.994967757621,15.3132269207504,49.032415685547
13.4836261236852,6.82951731250045,47.9265130223225
